No;Kecamatan;Kelurahan;Nomor;Kepala Lingkungan 
356;MEDAN BARU;BABURA;IX;MEDAN BARU-BABURA-IX
357;MEDAN BARU;BABURA;X;MEDAN BARU-BABURA-X
358;MEDAN BARU;BABURA;XI;MEDAN BARU-BABURA-XI
359;MEDAN BARU;BABURA;XII;MEDAN BARU-BABURA-XII
360;MEDAN BARU;BABURA;XIII;MEDAN BARU-BABURA-XIII
361;MEDAN BARU;DARAT;I;MEDAN BARU-DARAT-I
362;MEDAN BARU;DARAT;II;MEDAN BARU-DARAT-II
363;MEDAN BARU;DARAT;III;MEDAN BARU-DARAT-III
364;MEDAN BARU;DARAT;IV;MEDAN BARU-DARAT-IV
365;MEDAN BARU;MERDEKA;I;MEDAN BARU-MERDEKA-I
366;MEDAN BARU;MERDEKA;II;MEDAN BARU-MERDEKA-II
367;MEDAN BARU;MERDEKA;III;MEDAN BARU-MERDEKA-III
368;MEDAN BARU;MERDEKA;IV;MEDAN BARU-MERDEKA-IV
369;MEDAN BARU;MERDEKA;V;MEDAN BARU-MERDEKA-V
370;MEDAN BARU;MERDEKA;VI;MEDAN BARU-MERDEKA-VI
371;MEDAN BARU;MERDEKA;VII;MEDAN BARU-MERDEKA-VII
372;MEDAN BARU;MERDEKA;VIII;MEDAN BARU-MERDEKA-VIII
373;MEDAN BARU;MERDEKA;IX;MEDAN BARU-MERDEKA-IX
374;MEDAN BARU;MERDEKA;X;MEDAN BARU-MERDEKA-X
375;MEDAN BARU;MERDEKA;XI;MEDAN BARU-MERDEKA-XI
376;MEDAN BARU;MERDEKA;XII;MEDAN BARU-MERDEKA-XII
377;MEDAN BARU;MERDEKA;XIII;MEDAN BARU-MERDEKA-XIII
378;MEDAN BARU;PADANG BULAN;I;MEDAN BARU-PADANG BULAN-I
379;MEDAN BARU;PADANG BULAN;II;MEDAN BARU-PADANG BULAN-II
380;MEDAN BARU;PADANG BULAN;III;MEDAN BARU-PADANG BULAN-III
381;MEDAN BARU;PADANG BULAN;IV;MEDAN BARU-PADANG BULAN-IV
382;MEDAN BARU;PADANG BULAN;V;MEDAN BARU-PADANG BULAN-V
383;MEDAN BARU;PADANG BULAN;VI;MEDAN BARU-PADANG BULAN-VI
384;MEDAN BARU;PADANG BULAN;VII;MEDAN BARU-PADANG BULAN-VII
385;MEDAN BARU;PADANG BULAN;VIII;MEDAN BARU-PADANG BULAN-VIII
386;MEDAN BARU;PADANG BULAN;IX;MEDAN BARU-PADANG BULAN-IX
387;MEDAN BARU;PADANG BULAN;X;MEDAN BARU-PADANG BULAN-X
388;MEDAN BARU;PADANG BULAN;XI;MEDAN BARU-PADANG BULAN-XI
389;MEDAN BARU;PADANG BULAN;XII;MEDAN BARU-PADANG BULAN-XII
390;MEDAN BARU;PETISAH HULU;I;MEDAN BARU-PETISAH HULU-I
391;MEDAN BARU;PETISAH HULU;II;MEDAN BARU-PETISAH HULU-II
392;MEDAN BARU;PETISAH HULU;III;MEDAN BARU-PETISAH HULU-III
393;MEDAN BARU;PETISAH HULU;IV;MEDAN BARU-PETISAH HULU-IV
394;MEDAN BARU;PETISAH HULU;V;MEDAN BARU-PETISAH HULU-V
395;MEDAN BARU;PETISAH HULU;VI;MEDAN BARU-PETISAH HULU-VI
396;MEDAN BARU;PETISAH HULU;VII;MEDAN BARU-PETISAH HULU-VII
397;MEDAN BARU;PETISAH HULU;VIII;MEDAN BARU-PETISAH HULU-VIII
398;MEDAN BARU;PETISAH HULU;IX;MEDAN BARU-PETISAH HULU-IX
399;MEDAN BARU;PETISAH HULU;X;MEDAN BARU-PETISAH HULU-X
400;MEDAN BARU;PETISAH HULU;XI;MEDAN BARU-PETISAH HULU-XI
401;MEDAN BARU;PETISAH HULU;XII;MEDAN BARU-PETISAH HULU-XII
402;MEDAN BARU;TITI RANTAI;I;MEDAN BARU-TITI RANTAI-I
403;MEDAN BARU;TITI RANTAI;II;MEDAN BARU-TITI RANTAI-II
404;MEDAN BARU;TITI RANTAI;III;MEDAN BARU-TITI RANTAI-III
405;MEDAN BARU;TITI RANTAI;IV;MEDAN BARU-TITI RANTAI-IV
406;MEDAN BARU;TITI RANTAI;V;MEDAN BARU-TITI RANTAI-V
407;MEDAN BARU;TITI RANTAI;VI;MEDAN BARU-TITI RANTAI-VI
408;MEDAN BARU;TITI RANTAI;VII;MEDAN BARU-TITI RANTAI-VII
409;MEDAN BARU;TITI RANTAI;VIII;MEDAN BARU-TITI RANTAI-VIII
410;MEDAN BARU;TITI RANTAI;IX;MEDAN BARU-TITI RANTAI-IX
411;MEDAN BARU;TITI RANTAI;X;MEDAN BARU-TITI RANTAI-X
412;MEDAN BELAWAN;BAGAN DELI;I;MEDAN BELAWAN-BAGAN DELI-I
413;MEDAN BELAWAN;BAGAN DELI;II;MEDAN BELAWAN-BAGAN DELI-II
414;MEDAN BELAWAN;BAGAN DELI;III;MEDAN BELAWAN-BAGAN DELI-III
415;MEDAN BELAWAN;BAGAN DELI;IV;MEDAN BELAWAN-BAGAN DELI-IV
416;MEDAN BELAWAN;BAGAN DELI;V;MEDAN BELAWAN-BAGAN DELI-V
417;MEDAN BELAWAN;BAGAN DELI;VI;MEDAN BELAWAN-BAGAN DELI-VI
418;MEDAN BELAWAN;BAGAN DELI;VII;MEDAN BELAWAN-BAGAN DELI-VII
419;MEDAN BELAWAN;BAGAN DELI;VIII;MEDAN BELAWAN-BAGAN DELI-VIII
420;MEDAN BELAWAN;BAGAN DELI;IX;MEDAN BELAWAN-BAGAN DELI-IX
421;MEDAN BELAWAN;BAGAN DELI;X;MEDAN BELAWAN-BAGAN DELI-X
422;MEDAN BELAWAN;BAGAN DELI;XI;MEDAN BELAWAN-BAGAN DELI-XI
423;MEDAN BELAWAN;BAGAN DELI;XII;MEDAN BELAWAN-BAGAN DELI-XII
424;MEDAN BELAWAN;BAGAN DELI;XIII;MEDAN BELAWAN-BAGAN DELI-XIII
425;MEDAN BELAWAN;BAGAN DELI;XIV;MEDAN BELAWAN-BAGAN DELI-XIV
426;MEDAN BELAWAN;BAGAN DELI;XV;MEDAN BELAWAN-BAGAN DELI-XV
427;MEDAN BELAWAN;BELAWAN BAHAGIA;I;MEDAN BELAWAN-BELAWAN BAHAGIA-I
428;MEDAN BELAWAN;BELAWAN BAHAGIA;II;MEDAN BELAWAN-BELAWAN BAHAGIA-II
429;MEDAN BELAWAN;BELAWAN BAHAGIA;III;MEDAN BELAWAN-BELAWAN BAHAGIA-III
430;MEDAN BELAWAN;BELAWAN BAHAGIA;IV;MEDAN BELAWAN-BELAWAN BAHAGIA-IV
431;MEDAN BELAWAN;BELAWAN BAHAGIA;V;MEDAN BELAWAN-BELAWAN BAHAGIA-V
432;MEDAN BELAWAN;BELAWAN BAHAGIA;VI;MEDAN BELAWAN-BELAWAN BAHAGIA-VI
433;MEDAN BELAWAN;BELAWAN BAHAGIA;VII;MEDAN BELAWAN-BELAWAN BAHAGIA-VII
434;MEDAN BELAWAN;BELAWAN BAHAGIA;VIII;MEDAN BELAWAN-BELAWAN BAHAGIA-VIII
435;MEDAN BELAWAN;BELAWAN BAHAGIA;IX;MEDAN BELAWAN-BELAWAN BAHAGIA-IX
436;MEDAN BELAWAN;BELAWAN BAHAGIA;X;MEDAN BELAWAN-BELAWAN BAHAGIA-X
437;MEDAN BELAWAN;BELAWAN BAHAGIA;XI;MEDAN BELAWAN-BELAWAN BAHAGIA-XI
438;MEDAN BELAWAN;BELAWAN BAHAGIA;XII;MEDAN BELAWAN-BELAWAN BAHAGIA-XII
439;MEDAN BELAWAN;BELAWAN BAHAGIA;XIII;MEDAN BELAWAN-BELAWAN BAHAGIA-XIII
440;MEDAN BELAWAN;BELAWAN BAHAGIA;XIV;MEDAN BELAWAN-BELAWAN BAHAGIA-XIV
441;MEDAN BELAWAN;BELAWAN BAHAGIA;XV;MEDAN BELAWAN-BELAWAN BAHAGIA-XV
442;MEDAN BELAWAN;BELAWAN BAHAGIA;XVI;MEDAN BELAWAN-BELAWAN BAHAGIA-XVI
443;MEDAN BELAWAN;BELAWAN BAHAGIA;XVII;MEDAN BELAWAN-BELAWAN BAHAGIA-XVII
444;MEDAN BELAWAN;BELAWAN BAHAGIA;XVIII;MEDAN BELAWAN-BELAWAN BAHAGIA-XVIII
445;MEDAN BELAWAN;BELAWAN BAHAGIA;XIX;MEDAN BELAWAN-BELAWAN BAHAGIA-XIX
446;MEDAN BELAWAN;BELAWAN BAHAGIA;XX;MEDAN BELAWAN-BELAWAN BAHAGIA-XX
447;MEDAN BELAWAN;BELAWAN BAHARI;I;MEDAN BELAWAN-BELAWAN BAHARI-I
448;MEDAN BELAWAN;BELAWAN BAHARI;II;MEDAN BELAWAN-BELAWAN BAHARI-II
449;MEDAN BELAWAN;BELAWAN BAHARI;III;MEDAN BELAWAN-BELAWAN BAHARI-III
450;MEDAN BELAWAN;BELAWAN BAHARI;IV;MEDAN BELAWAN-BELAWAN BAHARI-IV
451;MEDAN BELAWAN;BELAWAN BAHARI;V;MEDAN BELAWAN-BELAWAN BAHARI-V
452;MEDAN BELAWAN;BELAWAN BAHARI;VI;MEDAN BELAWAN-BELAWAN BAHARI-VI
453;MEDAN BELAWAN;BELAWAN BAHARI;VII;MEDAN BELAWAN-BELAWAN BAHARI-VII
454;MEDAN BELAWAN;BELAWAN BAHARI;VIII;MEDAN BELAWAN-BELAWAN BAHARI-VIII
455;MEDAN BELAWAN;BELAWAN BAHARI;IX;MEDAN BELAWAN-BELAWAN BAHARI-IX
456;MEDAN BELAWAN;BELAWAN BAHARI;X;MEDAN BELAWAN-BELAWAN BAHARI-X
457;MEDAN BELAWAN;BELAWAN BAHARI;XI;MEDAN BELAWAN-BELAWAN BAHARI-XI
458;MEDAN BELAWAN;BELAWAN BAHARI;XII;MEDAN BELAWAN-BELAWAN BAHARI-XII
459;MEDAN BELAWAN;BELAWAN BAHARI;XIII;MEDAN BELAWAN-BELAWAN BAHARI-XIII
460;MEDAN BELAWAN;BELAWAN I;I;MEDAN BELAWAN-BELAWAN I-I
461;MEDAN BELAWAN;BELAWAN I;II;MEDAN BELAWAN-BELAWAN I-II
462;MEDAN BELAWAN;BELAWAN I;III;MEDAN BELAWAN-BELAWAN I-III
463;MEDAN BELAWAN;BELAWAN I;IV;MEDAN BELAWAN-BELAWAN I-IV
464;MEDAN BELAWAN;BELAWAN I;V;MEDAN BELAWAN-BELAWAN I-V
465;MEDAN BELAWAN;BELAWAN I;VI;MEDAN BELAWAN-BELAWAN I-VI
466;MEDAN BELAWAN;BELAWAN I;VII;MEDAN BELAWAN-BELAWAN I-VII
467;MEDAN BELAWAN;BELAWAN I;VIII;MEDAN BELAWAN-BELAWAN I-VIII
468;MEDAN BELAWAN;BELAWAN I;IX;MEDAN BELAWAN-BELAWAN I-IX
469;MEDAN BELAWAN;BELAWAN I;X;MEDAN BELAWAN-BELAWAN I-X
470;MEDAN BELAWAN;BELAWAN I;XI;MEDAN BELAWAN-BELAWAN I-XI
471;MEDAN BELAWAN;BELAWAN I;XII;MEDAN BELAWAN-BELAWAN I-XII
472;MEDAN BELAWAN;BELAWAN I;XIII;MEDAN BELAWAN-BELAWAN I-XIII
473;MEDAN BELAWAN;BELAWAN I;XIV;MEDAN BELAWAN-BELAWAN I-XIV
474;MEDAN BELAWAN;BELAWAN I;XV;MEDAN BELAWAN-BELAWAN I-XV
475;MEDAN BELAWAN;BELAWAN I;XVI;MEDAN BELAWAN-BELAWAN I-XVI
476;MEDAN BELAWAN;BELAWAN I;XVII;MEDAN BELAWAN-BELAWAN I-XVII
477;MEDAN BELAWAN;BELAWAN I;XVIII;MEDAN BELAWAN-BELAWAN I-XVIII
478;MEDAN BELAWAN;BELAWAN I;XIX;MEDAN BELAWAN-BELAWAN I-XIX
479;MEDAN BELAWAN;BELAWAN I;XX;MEDAN BELAWAN-BELAWAN I-XX
480;MEDAN BELAWAN;BELAWAN I;XXI;MEDAN BELAWAN-BELAWAN I-XXI
481;MEDAN BELAWAN;BELAWAN I;XXII;MEDAN BELAWAN-BELAWAN I-XXII
482;MEDAN BELAWAN;BELAWAN I;XXIII;MEDAN BELAWAN-BELAWAN I-XXIII
483;MEDAN BELAWAN;BELAWAN I;XXIV;MEDAN BELAWAN-BELAWAN I-XXIV
484;MEDAN BELAWAN;BELAWAN I;XXV;MEDAN BELAWAN-BELAWAN I-XXV
485;MEDAN BELAWAN;BELAWAN I;XXVI;MEDAN BELAWAN-BELAWAN I-XXVI
486;MEDAN BELAWAN;BELAWAN I;XXVII;MEDAN BELAWAN-BELAWAN I-XXVII
487;MEDAN BELAWAN;BELAWAN I;XXVIII;MEDAN BELAWAN-BELAWAN I-XXVIII
488;MEDAN BELAWAN;BELAWAN I;XXIX;MEDAN BELAWAN-BELAWAN I-XXIX
489;MEDAN BELAWAN;BELAWAN I;XXX;MEDAN BELAWAN-BELAWAN I-XXX
490;MEDAN BELAWAN;BELAWAN I;XXXI;MEDAN BELAWAN-BELAWAN I-XXXI
491;MEDAN BELAWAN;BELAWAN II;I;MEDAN BELAWAN-BELAWAN II-I
492;MEDAN BELAWAN;BELAWAN II;II;MEDAN BELAWAN-BELAWAN II-II
493;MEDAN BELAWAN;BELAWAN II;III;MEDAN BELAWAN-BELAWAN II-III
494;MEDAN BELAWAN;BELAWAN II;IV;MEDAN BELAWAN-BELAWAN II-IV
495;MEDAN BELAWAN;BELAWAN II;V;MEDAN BELAWAN-BELAWAN II-V
496;MEDAN BELAWAN;BELAWAN II;VI;MEDAN BELAWAN-BELAWAN II-VI
497;MEDAN BELAWAN;BELAWAN II;VII;MEDAN BELAWAN-BELAWAN II-VII
498;MEDAN BELAWAN;BELAWAN II;VIII;MEDAN BELAWAN-BELAWAN II-VIII
499;MEDAN BELAWAN;BELAWAN II;IX;MEDAN BELAWAN-BELAWAN II-IX
500;MEDAN BELAWAN;BELAWAN II;X;MEDAN BELAWAN-BELAWAN II-X
501;MEDAN BELAWAN;BELAWAN II;XI;MEDAN BELAWAN-BELAWAN II-XI
502;MEDAN BELAWAN;BELAWAN II;XII;MEDAN BELAWAN-BELAWAN II-XII
503;MEDAN BELAWAN;BELAWAN II;XIII;MEDAN BELAWAN-BELAWAN II-XIII
504;MEDAN BELAWAN;BELAWAN II;XIV;MEDAN BELAWAN-BELAWAN II-XIV
505;MEDAN BELAWAN;BELAWAN II;XV;MEDAN BELAWAN-BELAWAN II-XV
506;MEDAN BELAWAN;BELAWAN II;XVI;MEDAN BELAWAN-BELAWAN II-XVI
507;MEDAN BELAWAN;BELAWAN II;XVII;MEDAN BELAWAN-BELAWAN II-XVII
508;MEDAN BELAWAN;BELAWAN II;XVIII;MEDAN BELAWAN-BELAWAN II-XVIII
509;MEDAN BELAWAN;BELAWAN II;XIX;MEDAN BELAWAN-BELAWAN II-XIX
510;MEDAN BELAWAN;BELAWAN II;XX;MEDAN BELAWAN-BELAWAN II-XX
511;MEDAN BELAWAN;BELAWAN II;XXI;MEDAN BELAWAN-BELAWAN II-XXI
512;MEDAN BELAWAN;BELAWAN II;XXII;MEDAN BELAWAN-BELAWAN II-XXII
513;MEDAN BELAWAN;BELAWAN II;XXIII;MEDAN BELAWAN-BELAWAN II-XXIII
514;MEDAN BELAWAN;BELAWAN II;XXIV;MEDAN BELAWAN-BELAWAN II-XXIV
515;MEDAN BELAWAN;BELAWAN II;XXV;MEDAN BELAWAN-BELAWAN II-XXV
516;MEDAN BELAWAN;BELAWAN II;XXVI;MEDAN BELAWAN-BELAWAN II-XXVI
517;MEDAN BELAWAN;BELAWAN II;XXVII;MEDAN BELAWAN-BELAWAN II-XXVII
518;MEDAN BELAWAN;BELAWAN II;XXVIII;MEDAN BELAWAN-BELAWAN II-XXVIII
519;MEDAN BELAWAN;BELAWAN II;XXIX;MEDAN BELAWAN-BELAWAN II-XXIX
520;MEDAN BELAWAN;BELAWAN II;XXX;MEDAN BELAWAN-BELAWAN II-XXX
521;MEDAN BELAWAN;BELAWAN II;XXXI;MEDAN BELAWAN-BELAWAN II-XXXI
522;MEDAN BELAWAN;BELAWAN II;XXXII;MEDAN BELAWAN-BELAWAN II-XXXII
523;MEDAN BELAWAN;BELAWAN II;XXXIII;MEDAN BELAWAN-BELAWAN II-XXXIII
524;MEDAN BELAWAN;BELAWAN II;XXXIV;MEDAN BELAWAN-BELAWAN II-XXXIV
525;MEDAN BELAWAN;BELAWAN II;XXXV;MEDAN BELAWAN-BELAWAN II-XXXV
526;MEDAN BELAWAN;BELAWAN II;XXXVI;MEDAN BELAWAN-BELAWAN II-XXXVI
527;MEDAN BELAWAN;BELAWAN II;XXXVII;MEDAN BELAWAN-BELAWAN II-XXXVII
528;MEDAN BELAWAN;BELAWAN II;XXXVIII;MEDAN BELAWAN-BELAWAN II-XXXVIII
529;MEDAN BELAWAN;BELAWAN II;XXXIX;MEDAN BELAWAN-BELAWAN II-XXXIX
530;MEDAN BELAWAN;BELAWAN II;XL;MEDAN BELAWAN-BELAWAN II-XL
531;MEDAN BELAWAN;BELAWAN II;XLI;MEDAN BELAWAN-BELAWAN II-XLI
532;MEDAN BELAWAN;BELAWAN II;XLII;MEDAN BELAWAN-BELAWAN II-XLII
533;MEDAN BELAWAN;BELAWAN II;XLIII;MEDAN BELAWAN-BELAWAN II-XLIII
534;MEDAN BELAWAN;BELAWAN II;XLIV;MEDAN BELAWAN-BELAWAN II-XLIV
535;MEDAN BELAWAN;BELAWAN SICANANG;I;MEDAN BELAWAN-BELAWAN SICANANG-I
536;MEDAN BELAWAN;BELAWAN SICANANG;II;MEDAN BELAWAN-BELAWAN SICANANG-II
537;MEDAN BELAWAN;BELAWAN SICANANG;III;MEDAN BELAWAN-BELAWAN SICANANG-III
538;MEDAN BELAWAN;BELAWAN SICANANG;IV;MEDAN BELAWAN-BELAWAN SICANANG-IV
539;MEDAN BELAWAN;BELAWAN SICANANG;V;MEDAN BELAWAN-BELAWAN SICANANG-V
540;MEDAN BELAWAN;BELAWAN SICANANG;VI;MEDAN BELAWAN-BELAWAN SICANANG-VI
541;MEDAN BELAWAN;BELAWAN SICANANG;VII;MEDAN BELAWAN-BELAWAN SICANANG-VII
542;MEDAN BELAWAN;BELAWAN SICANANG;VIII;MEDAN BELAWAN-BELAWAN SICANANG-VIII
543;MEDAN BELAWAN;BELAWAN SICANANG;IX;MEDAN BELAWAN-BELAWAN SICANANG-IX
544;MEDAN BELAWAN;BELAWAN SICANANG;X;MEDAN BELAWAN-BELAWAN SICANANG-X
545;MEDAN BELAWAN;BELAWAN SICANANG;XI;MEDAN BELAWAN-BELAWAN SICANANG-XI
546;MEDAN BELAWAN;BELAWAN SICANANG;XII;MEDAN BELAWAN-BELAWAN SICANANG-XII
547;MEDAN BELAWAN;BELAWAN SICANANG;XIII;MEDAN BELAWAN-BELAWAN SICANANG-XIII
548;MEDAN BELAWAN;BELAWAN SICANANG;XIV;MEDAN BELAWAN-BELAWAN SICANANG-XIV
549;MEDAN BELAWAN;BELAWAN SICANANG;XV;MEDAN BELAWAN-BELAWAN SICANANG-XV
550;MEDAN BELAWAN;BELAWAN SICANANG;XVI;MEDAN BELAWAN-BELAWAN SICANANG-XVI
551;MEDAN BELAWAN;BELAWAN SICANANG;XVII;MEDAN BELAWAN-BELAWAN SICANANG-XVII
552;MEDAN BELAWAN;BELAWAN SICANANG;XVIII;MEDAN BELAWAN-BELAWAN SICANANG-XVIII
553;MEDAN BELAWAN;BELAWAN SICANANG;XIX;MEDAN BELAWAN-BELAWAN SICANANG-XIX
554;MEDAN BELAWAN;BELAWAN SICANANG;XX;MEDAN BELAWAN-BELAWAN SICANANG-XX
555;MEDAN DENAI;BINJAI;I;MEDAN DENAI-BINJAI-I
556;MEDAN DENAI;BINJAI;II;MEDAN DENAI-BINJAI-II
557;MEDAN DENAI;BINJAI;III;MEDAN DENAI-BINJAI-III
558;MEDAN DENAI;BINJAI;IV;MEDAN DENAI-BINJAI-IV
559;MEDAN DENAI;BINJAI;V;MEDAN DENAI-BINJAI-V
560;MEDAN DENAI;BINJAI;VI;MEDAN DENAI-BINJAI-VI
561;MEDAN DENAI;BINJAI;VII;MEDAN DENAI-BINJAI-VII
562;MEDAN DENAI;BINJAI;VIII;MEDAN DENAI-BINJAI-VIII
563;MEDAN DENAI;BINJAI;IX;MEDAN DENAI-BINJAI-IX
564;MEDAN DENAI;BINJAI;X;MEDAN DENAI-BINJAI-X
565;MEDAN DENAI;BINJAI;XI;MEDAN DENAI-BINJAI-XI
566;MEDAN DENAI;BINJAI;XII;MEDAN DENAI-BINJAI-XII
567;MEDAN DENAI;BINJAI;XIII;MEDAN DENAI-BINJAI-XIII
568;MEDAN DENAI;BINJAI;XIV;MEDAN DENAI-BINJAI-XIV
569;MEDAN DENAI;BINJAI;XV;MEDAN DENAI-BINJAI-XV
570;MEDAN DENAI;BINJAI;XVI;MEDAN DENAI-BINJAI-XVI
571;MEDAN DENAI;BINJAI;XVII;MEDAN DENAI-BINJAI-XVII
572;MEDAN DENAI;BINJAI;XVIII;MEDAN DENAI-BINJAI-XVIII
573;MEDAN DENAI;BINJAI;XIX;MEDAN DENAI-BINJAI-XIX
574;MEDAN DENAI;BINJAI;XX;MEDAN DENAI-BINJAI-XX
575;MEDAN DENAI;DENAI;I;MEDAN DENAI-DENAI-I
576;MEDAN DENAI;DENAI;II;MEDAN DENAI-DENAI-II
577;MEDAN DENAI;DENAI;III;MEDAN DENAI-DENAI-III
578;MEDAN DENAI;DENAI;IV;MEDAN DENAI-DENAI-IV
579;MEDAN DENAI;DENAI;V;MEDAN DENAI-DENAI-V
580;MEDAN DENAI;DENAI;VI;MEDAN DENAI-DENAI-VI
581;MEDAN DENAI;DENAI;VII;MEDAN DENAI-DENAI-VII
582;MEDAN DENAI;DENAI;VIII;MEDAN DENAI-DENAI-VIII
583;MEDAN DENAI;DENAI;IX;MEDAN DENAI-DENAI-IX
584;MEDAN DENAI;MEDAN TENGGARA;I;MEDAN DENAI-MEDAN TENGGARA-I
585;MEDAN DENAI;MEDAN TENGGARA;II;MEDAN DENAI-MEDAN TENGGARA-II
586;MEDAN DENAI;MEDAN TENGGARA;III;MEDAN DENAI-MEDAN TENGGARA-III
587;MEDAN DENAI;MEDAN TENGGARA;IV;MEDAN DENAI-MEDAN TENGGARA-IV
588;MEDAN DENAI;MEDAN TENGGARA;V;MEDAN DENAI-MEDAN TENGGARA-V
589;MEDAN DENAI;MEDAN TENGGARA;VI;MEDAN DENAI-MEDAN TENGGARA-VI
590;MEDAN DENAI;MEDAN TENGGARA;VII;MEDAN DENAI-MEDAN TENGGARA-VII
591;MEDAN DENAI;MEDAN TENGGARA;VIII;MEDAN DENAI-MEDAN TENGGARA-VIII
592;MEDAN DENAI;MEDAN TENGGARA;IX;MEDAN DENAI-MEDAN TENGGARA-IX
593;MEDAN DENAI;MEDAN TENGGARA;X;MEDAN DENAI-MEDAN TENGGARA-X
594;MEDAN DENAI;MEDAN TENGGARA;XI;MEDAN DENAI-MEDAN TENGGARA-XI
595;MEDAN DENAI;TEGAL SARI MANDALA I;I;MEDAN DENAI-TEGAL SARI MANDALA I-I
596;MEDAN DENAI;TEGAL SARI MANDALA I;II;MEDAN DENAI-TEGAL SARI MANDALA I-II
597;MEDAN DENAI;TEGAL SARI MANDALA I;III;MEDAN DENAI-TEGAL SARI MANDALA I-III
598;MEDAN DENAI;TEGAL SARI MANDALA I;IV;MEDAN DENAI-TEGAL SARI MANDALA I-IV
599;MEDAN DENAI;TEGAL SARI MANDALA I;V;MEDAN DENAI-TEGAL SARI MANDALA I-V
600;MEDAN DENAI;TEGAL SARI MANDALA I;VI;MEDAN DENAI-TEGAL SARI MANDALA I-VI
601;MEDAN DENAI;TEGAL SARI MANDALA I;VII;MEDAN DENAI-TEGAL SARI MANDALA I-VII
602;MEDAN DENAI;TEGAL SARI MANDALA I;VIII;MEDAN DENAI-TEGAL SARI MANDALA I-VIII
603;MEDAN DENAI;TEGAL SARI MANDALA I;IX;MEDAN DENAI-TEGAL SARI MANDALA I-IX
604;MEDAN DENAI;TEGAL SARI MANDALA I;X;MEDAN DENAI-TEGAL SARI MANDALA I-X
605;MEDAN DENAI;TEGAL SARI MANDALA I;XI;MEDAN DENAI-TEGAL SARI MANDALA I-XI
606;MEDAN DENAI;TEGAL SARI MANDALA I;XII;MEDAN DENAI-TEGAL SARI MANDALA I-XII
607;MEDAN DENAI;TEGAL SARI MANDALA II;I;MEDAN DENAI-TEGAL SARI MANDALA II-I
608;MEDAN DENAI;TEGAL SARI MANDALA II;II;MEDAN DENAI-TEGAL SARI MANDALA II-II
609;MEDAN DENAI;TEGAL SARI MANDALA II;III;MEDAN DENAI-TEGAL SARI MANDALA II-III
610;MEDAN DENAI;TEGAL SARI MANDALA II;IV;MEDAN DENAI-TEGAL SARI MANDALA II-IV
611;MEDAN DENAI;TEGAL SARI MANDALA II;V;MEDAN DENAI-TEGAL SARI MANDALA II-V
612;MEDAN DENAI;TEGAL SARI MANDALA II;VI;MEDAN DENAI-TEGAL SARI MANDALA II-VI
613;MEDAN DENAI;TEGAL SARI MANDALA II;VII;MEDAN DENAI-TEGAL SARI MANDALA II-VII
614;MEDAN DENAI;TEGAL SARI MANDALA II;VIII;MEDAN DENAI-TEGAL SARI MANDALA II-VIII
615;MEDAN DENAI;TEGAL SARI MANDALA II;IX;MEDAN DENAI-TEGAL SARI MANDALA II-IX
616;MEDAN DENAI;TEGAL SARI MANDALA II;X;MEDAN DENAI-TEGAL SARI MANDALA II-X
617;MEDAN DENAI;TEGAL SARI MANDALA II;XI;MEDAN DENAI-TEGAL SARI MANDALA II-XI
618;MEDAN DENAI;TEGAL SARI MANDALA II;XII;MEDAN DENAI-TEGAL SARI MANDALA II-XII
619;MEDAN DENAI;TEGAL SARI MANDALA II;XIII;MEDAN DENAI-TEGAL SARI MANDALA II-XIII
620;MEDAN DENAI;TEGAL SARI MANDALA II;XIV;MEDAN DENAI-TEGAL SARI MANDALA II-XIV
621;MEDAN DENAI;TEGAL SARI MANDALA II;XV;MEDAN DENAI-TEGAL SARI MANDALA II-XV
622;MEDAN DENAI;TEGAL SARI MANDALA III;I;MEDAN DENAI-TEGAL SARI MANDALA III-I
623;MEDAN DENAI;TEGAL SARI MANDALA III;II;MEDAN DENAI-TEGAL SARI MANDALA III-II
624;MEDAN DENAI;TEGAL SARI MANDALA III;III;MEDAN DENAI-TEGAL SARI MANDALA III-III
625;MEDAN DENAI;TEGAL SARI MANDALA III;IV;MEDAN DENAI-TEGAL SARI MANDALA III-IV
626;MEDAN DENAI;TEGAL SARI MANDALA III;V;MEDAN DENAI-TEGAL SARI MANDALA III-V
627;MEDAN DENAI;TEGAL SARI MANDALA III;VI;MEDAN DENAI-TEGAL SARI MANDALA III-VI
628;MEDAN DENAI;TEGAL SARI MANDALA III;VII;MEDAN DENAI-TEGAL SARI MANDALA III-VII
629;MEDAN DENAI;TEGAL SARI MANDALA III;VIII;MEDAN DENAI-TEGAL SARI MANDALA III-VIII
630;MEDAN DENAI;TEGAL SARI MANDALA III;IX;MEDAN DENAI-TEGAL SARI MANDALA III-IX
631;MEDAN DENAI;TEGAL SARI MANDALA III;X;MEDAN DENAI-TEGAL SARI MANDALA III-X
632;MEDAN DENAI;TEGAL SARI MANDALA III;XI;MEDAN DENAI-TEGAL SARI MANDALA III-XI
633;MEDAN DENAI;TEGAL SARI MANDALA III;XII;MEDAN DENAI-TEGAL SARI MANDALA III-XII
634;MEDAN DENAI;TEGAL SARI MANDALA III;XIII;MEDAN DENAI-TEGAL SARI MANDALA III-XIII
635;MEDAN DENAI;TEGAL SARI MANDALA III;XIV;MEDAN DENAI-TEGAL SARI MANDALA III-XIV
